year,Chadiza,Chasefu,Chibombo,Chikankanta,Chilanga,Chipangali,Chipata,Chirundu,Chisamba,Chitambo,Choma,Chongwe,Gwembe,Itezhi tezhi,Kabwe,Kafue,Kalabo,Kalomo,Kaoma,Kapiri Mposhi,Kasenengwa,Katete,Kazungula,Lavushimanda,Limulunga,Livingstone,Luampa,Luangwa,Luano,Lukulu,Lumezi,Lundazi,Lusaka,Lusangazi,Mambwe,Mazabuka,Mitete,Mkushi,Mongu,Monze,Mpongwe,Mulobezi,Mumbwa,Mwandi,Nalolo,Namwala,Ngabwe,Nkeyema,Nyimba,Pemba,Petauke,Rufunsa,Senanga,Serenje,Sesheke,Shangombo,Shibuyunji,Siavonga,Sikongo,Sinazongwe,Sinda,Sioma,Vubwi,Zimba,Average
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,0,0,0,0,0,0,0,0,347.2951965,0,0,0,0,0,379.8541565,0,0,0,0,0,0,0,0,0,0,0,0,903.703064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.9755554,0,0,0,0,0,0,430.9645081,0,0,0,0,0,0,0,0,
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.8026733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670.9691162,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.0593262,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,889.7824707,778.6546021,614.5740967,429.4096375,472.561554,762.2338257,513.055603,474.4344788,477.6358643,926.0955811,0,852.7302246,806.4071655,0,751.5258789,857.5016479,0,0,0,810.0836182,885.3292847,895.6758423,381.7411499,637.7957764,0,343.6903381,349.1279907,466.865387,861.9898682,0,787.1167603,987.8963623,468.2705994,771.7301025,844.6047363,438.4007874,0,828.0427856,338.3760986,0,0,0,0,439.0496521,544.793396,0,0,0,851.8258667,421.7986145,814.1929932,480.0437622,761.0178833,910.1889038,320.5049438,540.2252197,797.0430908,381.3338623,214.4185791,460.4547729,734.8294067,767.1286621,0,511.8386536,
2016,0,0,466.3838196,544.8411865,555.9638672,0,0,0,0,0,551.2334595,0,795.8286133,0,0,437.1524963,0,0,0,0,0,0,0,0,0,0,0,376.665802,0,0,0,0,0,0,252.354248,485.0932922,0,0,0,570.0932007,0,0,0,0,0,554.5504761,0,0,0,570.821167,0,0,0,0,0,0,537.7565918,624.1472778,0,582.4884033,0,0,0,0,
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018,0,0,0,0,466.3326416,0,0,0,0,0,0,0,0,0,0,383.8493347,0,357.9554443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.568573,0,0,0,0,0,0,0,0,0,0,0,0,459.9645996,0,0,0,0,0,350.3468628,0,0,0,0,0,338.5747986,354.6080017,0,0,0,0,0,
